NoOptC0,NoOptC1,NoOptC2,NoOptC3,NoOptCpp0,NoOptCpp1,NoOptCpp2,NoOptCpp3,OptC0,OptC1,OptC2,OptC3,OptCpp0,OptCpp1,OptCpp2,OptCpp3
62783,28337,34463,34206,208335,47776,34698,34616,46393,6276,5866,5853,112036,9021,5910,5885
62687,29392,34673,34332,178588,47464,34677,35112,46137,6472,5896,5880,112078,9083,5958,5958
62709,28549,34636,34141,131398,47532,34608,34668,46141,6268,5865,5872,112423,9049,5965,5893
39625,43614,34576,34302,130460,47494,34761,34443,46246,6542,5873,5879,113410,9080,5964,5934
39853,43725,34416,34244,131471,47580,34782,34664,46238,7153,6006,5955,179513,9124,5993,6100
40042,43612,34297,34362,133896,47468,34749,34643,46218,6191,5879,5877,179813,9292,5920,5937
41599,43652,34536,34019,208941,47515,34761,34950,46448,9247,5982,5864,179151,6043,6012,5969
62882,43701,34560,34198,209260,47490,34749,23854,46509,9024,5864,5895,179753,6406,5972,5926
62882,43575,34390,34212,209767,47531,34757,23644,46120,9001,5893,5870,179557,7026,5957,5894
62966,43660,34477,34087,210359,47967,34899,23438,46448,9110,5871,5955,179674,6003,5923,5907
62491,43589,34863,34202,208636,47901,34684,24610,46163,8983,5870,6148,179738,6469,5940,5906
63034,43738,34706,30142,209014,47610,34731,23680,46282,8990,5890,5859,179515,6508,5933,5930
62867,43782,34645,22446,208549,47656,34745,24293,46131,6473,5965,5880,179393,9053,6018,6013
63107,43627,34515,34109,209915,47494,34759,34556,46235,6409,5887,5877,112407,9079,6019,5898
63737,43547,34539,34465,208196,47546,34646,34594,46261,5994,5884,5925,112730,9074,6011,5892
62695,43588,34516,34214,209003,47498,35063,34659,46152,5824,5904,5886,112279,9032,6274,5967
62357,43613,34342,34252,208339,47639,34731,34683,46188,6549,5939,5862,112664,9192,5985,5909
62443,43648,34603,34214,211515,47521,34618,34612,46476,9041,5881,5876,113336,9127,5944,5886
62557,43573,34449,34250,208530,47539,34715,34717,46342,8994,5885,5867,113051,9080,5928,6333
62946,44211,34583,34224,209237,47688,34837,34624,46264,8974,5873,4178,112616,9081,5961,6000
63077,43688,34541,34122,209000,43935,34728,34513,46184,9230,5903,4231,113025,9044,5957,5887
62677,43590,34872,34330,208943,31315,34765,23808,46366,8980,5976,4070,179438,9060,5958,5907
62533,43574,34500,34235,131107,30525,34723,24385,46171,9018,5899,4175,179268,9060,5931,5941
